"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Velocity: Magnitude (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
40.2020416259766,0.0321534834802151,-0.00843286514282227,40.2020553685563,-8.28902859617665,-0.085,0.015,0.0107500000182539
40.3982582092285,0.196232303977013,0.00297674210742116,40.3987349098659,-17.0368253869456,-0.07,0.015,0.0107500000365078
40.5058288574219,0.616023600101471,-0.000298440951155499,40.5105129144485,-17.6978584892931,-0.055,0.015,0.0107500000547618
40.2102317810059,1.45894360542297,0.0113592455163598,40.2366920280293,1.11593984835781,-0.04,0.015,0.0107500000730157
40.4332580566406,5.37605476379395,0.0127396732568741,40.7890976144053,-21.7595944296918,-0.025,0.015,0.0107500000912696
50.0367088317871,10.7924060821533,-0.0162042044103146,51.1873863596822,-589.870455477852,-0.01,0.015,0.0107500001095235
56.6658058166504,0.184301808476448,-0.0168255548924208,56.6661080285759,-939.621474963438,0.005,0.015,0.0107500001277775
51.1389198303223,-6.23012447357178,-0.0331120826303959,51.5170328025435,-611.06129435217,0.02,0.015,0.0107500001460314
46.8673515319824,-5.82996606826782,-0.0831055864691734,47.2286359163386,-362.183983668219,0.035,0.015,0.0107500001642853
44.7036056518555,-4.53087997436523,-0.108774654567242,44.932761583773,-234.028202274818,0.05,0.015,0.0107500001825392
43.768009185791,-2.90046310424805,-0.11581839621067,43.8641622307721,-174.395253666677,0.065,0.015,0.0107500002007931
43.8026695251465,-1.74584293365479,-0.143429026007652,43.8376823858617,-172.314040095342,0.08,0.015,0.0107500002190471
43.974048614502,-1.25050795078278,-0.171445846557617,43.9921597033364,-181.756092203061,0.095,0.015,0.010750000237301
44.091968536377,-1.04834628105164,-0.195493444800377,44.1048629634512,-188.127049272967,0.11,0.015,0.0107500002555549
44.1841735839844,-0.951990067958832,-0.202792793512344,44.1948934301946,-193.822447522078,0.125,0.015,0.0107500002738088
44.2641296386719,-0.894445598125458,-0.171963140368462,44.2734997139237,-199.655476485554,0.14,0.015,0.0107500002920628
44.4243125915527,-0.829328715801239,-0.139740765094757,44.4322727623995,-206.814591004979,0.155,0.015,0.0107500003103167
44.757884979248,-0.817843317985535,-0.140478253364563,44.7655768381023,-219.311540520852,0.17,0.015,0.0107500003285706
45.2093544006348,-1.07002389431,-0.204328447580338,45.2224770061424,-242.563574724481,0.185,0.015,0.0107500003468245
46.0434608459473,-1.60672831535339,-0.458619564771652,46.0737690498273,-297.568217089865,0.2,0.015,0.0107500003650784
