"Pressure (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","X (m)","Y (m)","Z (m)"
-219.462217194308,44.6033210263047,44.2519302368164,-5.46216011047363,-1.17801690101624,0.055,0.01,0.01075
-174.878509743023,42.4725336969498,41.9708786010742,-6.25948619842529,-1.78333973884583,0.055,0.005,0.01075
-117.314098256407,14.7453907104183,14.6001510620117,0.789309501647949,1.90764951705933,0.055,0,0.01075
-163.220184003025,42.8261926063454,42.3719635009766,5.9350962638855,1.86389768123627,0.055,-0.005,0.01075
-218.638394829613,44.4324343191953,44.0967445373535,5.36394786834717,0.972832977771759,0.055,-0.01,0.01075
-323.424438362892,1.28723612497774,1.28714489936829,-0.000365827610949054,0.0153204323723912,0.055,0.05,0.01075
-335.583273885859,46.0394117347381,46.0358085632324,-0.575079023838043,-0.0323562435805798,0.055,0.045,0.01075
-325.376414249818,46.8549284216235,46.8401184082031,-1.17759382724762,-0.0299612917006016,0.055,0.04,0.01075
-320.320894256576,46.6306564705198,46.607780456543,-1.45936071872711,-0.0564807839691639,0.055,0.035,0.01075
-309.672524432595,46.1719354128314,46.1265258789063,-2.04036355018616,-0.167769759893417,0.055,0.03,0.01075
-299.545448527795,45.9159264408467,45.8360710144043,-2.70344424247742,-0.135218754410744,0.055,0.025,0.01075
-284.382401020877,45.6636253951908,45.5343132019043,-3.42404627799988,-0.262511998414993,0.055,0.02,0.01075
-253.666106253535,45.1746219443225,44.9325370788574,-4.62357187271118,-0.660426080226898,0.055,0.015,0.01075
-255.350133929518,45.0641870748741,44.8166885375977,4.6851806640625,0.542648494243622,0.055,-0.015,0.01075
-287.262998622828,45.5815782250255,45.4485549926758,3.4644718170166,0.326431602239609,0.055,-0.02,0.01075
-303.817981770711,45.8847868108529,45.7992897033691,2.79838705062866,0.0880525931715965,0.055,-0.025,0.01075
-314.95057536901,46.1550256520293,46.1080665588379,2.0756733417511,0.155471295118332,0.055,-0.03,0.01075
-331.714532938786,46.6551175031137,46.6232643127441,1.72292363643646,0.0524232424795628,0.055,-0.035,0.01075
-331.664520910762,46.9157433091118,46.9006729125977,1.18846106529236,0.0375617928802967,0.055,-0.04,0.01075
-327.086172913638,46.466490831787,46.4607849121094,0.727868437767029,0.0210501439869404,0.055,-0.045,0.01075
-333.488320795315,1.24891333157582,1.24878740310669,0.000270295684458688,0.0177329797297716,0.055,-0.05,0.01075
